transaction_id,transaction_date,product_id,product_code,product_description,quantity,account_id
T20250414-00034,2024-06-07,229,17,Produto N361,20,1327
T20250414-00035,2024-08-17,270,39,Produto R20,13,1482
T20250414-00036,2024-12-12,244,2,Produto S837,7,1423
T20250414-00037,2024-03-12,235,20,Produto X356,12,1011
T20250414-00038,2024-08-07,271,10,Produto M881,17,1459
T20250414-00039,2023-04-04,219,10,Produto O463,1,1202
T20250414-00040,2024-03-10,265,8,Produto W591,10,1002
T20250414-00041,2024-04-19,205,17,Produto G609,2,1201
T20250414-00042,2024-08-08,297,5,Produto B500,17,1159
T20250414-00043,2025-02-14,216,40,Produto Y349,19,1447
T20250414-00044,2023-05-14,264,11,Produto P61,6,1459
T20250414-00045,2023-12-31,218,20,Produto M874,17,1102
T20250414-00046,2024-11-18,278,31,Produto A338,16,1090
T20250414-00047,2024-09-14,284,48,Produto C512,2,1443
T20250414-00048,2024-09-30,225,23,Produto A317,16,1173
T20250414-00049,2023-06-12,253,36,Produto S238,7,1006
T20250414-00050,2023-04-07,289,40,Produto X152,15,1062
T20250414-00051,2023-08-13,229,17,Produto N361,17,1326
T20250414-00052,2024-01-20,238,16,Produto K344,14,1322
T20250414-00053,2023-09-11,217,30,Produto G748,20,1227
T20250414-00054,2024-05-21,206,25,Produto A407,4,1091
T20250414-00055,2024-11-07,252,25,Produto P399,5,1185
T20250414-00056,2025-02-04,293,45,Produto I337,17,1287
T20250414-00057,2023-09-11,208,11,Produto O943,4,1143
T20250414-00058,2023-08-04,232,46,Produto Z547,6,1252
T20250414-00059,2024-02-18,280,44,Produto A726,12,1016
T20250414-00060,2023-09-02,257,40,Produto Q389,4,1070
T20250414-00061,2025-01-06,298,33,Produto B166,3,1466
T20250414-00062,2023-10-11,238,16,Produto K344,14,1251
T20250414-00063,2023-08-28,253,36,Produto S238,13,1127
T20250414-00064,2023-01-15,263,12,Produto O924,9,1377
T20250414-00065,2023-12-31,298,33,Produto B166,4,1292
T20250414-00066,2024-06-05,249,33,Produto Y845,10,1475
T20250414-00067,2025-01-18,268,44,Produto G994,15,1083
T20250414-00068,2023-08-26,224,32,Produto V634,2,1096
T20250414-00069,2024-10-08,245,19,Produto H791,18,1095
T20250414-00070,2024-10-07,295,20,Produto Y464,16,1148
T20250414-00071,2023-04-19,208,11,Produto O943,17,1330
T20250414-00072,2025-03-04,263,12,Produto O924,16,1235
T20250414-00073,2024-04-19,229,17,Produto N361,7,1406
T20250414-00074,2023-06-17,226,11,Produto J240,14,1488
T20250414-00075,2024-01-24,220,1,Produto C925,9,1496
T20250414-00076,2023-01-05,237,29,Produto T289,17,1075
T20250414-00077,2024-11-01,209,41,Produto C955,7,1143
T20250414-00078,2024-05-13,247,4,Produto K333,6,1120
T20250414-00079,2025-02-13,226,11,Produto J240,5,1361
T20250414-00080,2024-12-10,239,32,Produto G145,2,1157
T20250414-00081,2024-05-31,223,15,Produto W388,1,1011
T20250414-00082,2024-10-06,238,16,Produto K344,9,1295
T20250414-00083,2024-09-29,254,15,Produto K831,13,1392
T20250414-00084,2023-03-26,280,44,Produto A726,5,1383
T20250414-00085,2025-03-22,252,25,Produto P399,6,1280
T20250414-00086,2024-05-17,262,39,Produto Y699,5,1331
T20250414-00087,2025-01-20,220,1,Produto C925,10,1382
T20250414-00088,2024-03-14,221,1,Produto Q257,14,1272
T20250414-00089,2024-01-18,224,32,Produto V634,10,1310
T20250414-00090,2024-05-12,297,5,Produto B500,19,1162
T20250414-00091,2023-10-21,209,41,Produto C955,11,1393
T20250414-00092,2024-04-05,250,46,Produto Q690,19,1168
T20250414-00093,2025-03-28,203,23,Produto G994,14,1008
T20250414-00094,2023-11-26,258,5,Produto T479,14,1027
T20250414-00095,2023-04-20,226,11,Produto J240,8,1091
T20250414-00096,2024-04-20,203,23,Produto G994,14,1016
T20250414-00097,2023-01-27,230,28,Produto I246,15,1139
T20250414-00098,2023-04-13,259,19,Produto Y316,20,1173
T20250414-00099,2024-04-11,237,29,Produto T289,4,1137
T20250414-00100,2023-02-22,208,11,Produto O943,20,1201
T20250414-00101,2024-05-14,226,11,Produto J240,11,1452
T20250414-00102,2024-01-11,273,32,Produto P527,1,1240
T20250414-00103,2023-02-07,232,46,Produto Z547,15,1473
T20250414-00104,2023-08-03,212,19,Produto N759,5,1476
T20250414-00105,2024-12-18,296,46,Produto L885,16,1086
T20250414-00106,2023-03-31,201,17,Produto T822,7,1290
T20250414-00107,2024-04-29,252,25,Produto P399,13,1444
T20250414-00108,2024-06-22,286,49,Produto Y824,10,1296
T20250414-00109,2024-12-29,219,10,Produto O463,12,1199
T20250414-00110,2023-11-02,218,20,Produto M874,14,1371
T20250414-00111,2025-02-26,273,32,Produto P527,7,1493
T20250414-00112,2024-03-13,250,46,Produto Q690,1,1216
T20250414-00113,2024-04-17,223,15,Produto W388,3,1287
T20250414-00114,2023-10-03,260,47,Produto E906,5,1012
T20250414-00115,2025-03-05,290,6,Produto M816,12,1444
T20250414-00116,2024-11-12,258,5,Produto T479,12,1050
T20250414-00117,2024-05-05,231,3,Produto Q788,10,1068
T20250414-00118,2024-03-31,238,16,Produto K344,20,1435
T20250414-00119,2024-04-09,290,6,Produto M816,11,1062
T20250414-00120,2025-01-21,245,19,Produto H791,6,1443
T20250414-00121,2023-01-25,266,19,Produto U706,9,1217
T20250414-00122,2025-02-02,259,19,Produto Y316,17,1102
T20250414-00123,2024-08-13,272,20,Produto E366,2,1259
T20250414-00124,2024-02-14,277,26,Produto K965,5,1325
T20250414-00125,2023-03-15,299,38,Produto I435,20,1002
T20250414-00126,2023-10-17,295,20,Produto Y464,10,1196
T20250414-00127,2024-08-26,212,19,Produto N759,7,1129
T20250414-00128,2024-04-22,286,49,Produto Y824,12,1195
T20250414-00129,2024-11-23,208,11,Produto O943,11,1299
T20250414-00130,2023-11-08,240,26,Produto H916,3,1446
T20250414-00131,2023-05-11,299,38,Produto I435,7,1245
T20250414-00132,2023-04-06,229,17,Produto N361,8,1406
T20250414-00133,2023-03-28,245,19,Produto H791,17,1032
T20250414-00134,2024-07-04,251,2,Produto U899,7,1132
T20250414-00135,2024-02-11,230,28,Produto I246,7,1420
T20250414-00136,2024-09-26,217,30,Produto G748,9,1191
T20250414-00137,2024-02-28,237,29,Produto T289,11,1310
T20250414-00138,2024-12-23,221,1,Produto Q257,7,1148
T20250414-00139,2024-08-27,245,19,Produto H791,15,1111
T20250414-00140,2023-05-24,206,25,Produto A407,19,1202
T20250414-00141,2024-11-22,219,10,Produto O463,19,1066
T20250414-00142,2024-09-28,235,20,Produto X356,5,1474
T20250414-00143,2024-08-25,223,15,Produto W388,7,1496
T20250414-00144,2023-02-15,286,49,Produto Y824,9,1023
T20250414-00145,2025-02-08,255,40,Produto I357,13,1385
T20250414-00146,2023-05-16,297,5,Produto B500,7,1007
T20250414-00147,2023-02-21,287,16,Produto O164,8,1054
T20250414-00148,2025-02-20,271,10,Produto M881,14,1249
T20250414-00149,2024-01-18,227,21,Produto E338,14,1410
T20250414-00150,2024-06-08,217,30,Produto G748,8,1084
T20250414-00151,2024-06-10,212,19,Produto N759,19,1403
T20250414-00152,2023-12-13,294,16,Produto K893,1,1454
T20250414-00153,2023-10-05,242,10,Produto Z955,11,1473
T20250414-00154,2024-08-13,277,26,Produto K965,3,1097
T20250414-00155,2023-11-03,211,7,Produto F213,11,1348
T20250414-00156,2024-06-21,229,17,Produto N361,20,1209
T20250414-00157,2024-01-08,210,28,Produto L544,5,1073
T20250414-00158,2023-06-11,229,17,Produto N361,20,1062
T20250414-00159,2025-03-21,253,36,Produto S238,8,1385
T20250414-00160,2024-02-24,235,20,Produto X356,1,1440
T20250414-00161,2023-10-02,216,40,Produto Y349,18,1267
T20250414-00162,2025-02-16,259,19,Produto Y316,1,1374
T20250414-00163,2024-07-26,249,33,Produto Y845,4,1152
T20250414-00164,2024-01-25,213,4,Produto D177,16,1114
T20250414-00165,2024-05-25,236,44,Produto M279,10,1497
T20250414-00166,2025-02-04,264,11,Produto P61,19,1493
T20250414-00167,2024-12-27,200,20,Produto Z769,6,1265
T20250414-00168,2024-11-15,240,26,Produto H916,8,1399
T20250414-00169,2024-12-09,249,33,Produto Y845,19,1300
T20250414-00170,2024-03-01,244,2,Produto S837,2,1158
T20250414-00171,2023-03-29,275,10,Produto U483,5,1192
T20250414-00172,2023-09-01,283,47,Produto Q498,4,1481
T20250414-00173,2025-02-26,238,16,Produto K344,20,1250
T20250414-00174,2024-03-10,288,5,Produto T983,9,1342
T20250414-00175,2023-06-30,210,28,Produto L544,3,1108
T20250414-00176,2023-12-30,272,20,Produto E366,4,1291
T20250414-00177,2024-10-10,225,23,Produto A317,12,1063
T20250414-00178,2024-12-02,219,10,Produto O463,19,1149
T20250414-00179,2024-11-17,257,40,Produto Q389,16,1396
T20250414-00180,2025-01-19,214,17,Produto J937,1,1455
T20250414-00181,2023-06-14,219,10,Produto O463,18,1129
T20250414-00182,2024-12-26,225,23,Produto A317,9,1185
T20250414-00183,2023-07-19,214,17,Produto J937,1,1096
T20250414-00184,2024-07-22,277,26,Produto K965,11,1251
T20250414-00185,2024-02-22,247,4,Produto K333,10,1331
T20250414-00186,2023-11-07,218,20,Produto M874,2,1466
T20250414-00187,2025-03-08,211,7,Produto F213,17,1268
T20250414-00188,2025-01-15,200,20,Produto Z769,6,1252
T20250414-00189,2023-07-23,242,10,Produto Z955,20,1425
T20250414-00190,2023-03-03,245,19,Produto H791,11,1279
T20250414-00191,2024-02-08,218,20,Produto M874,5,1247
T20250414-00192,2024-10-06,247,4,Produto K333,10,1260
T20250414-00193,2023-01-17,238,16,Produto K344,16,1089
T20250414-00194,2023-07-13,288,5,Produto T983,14,1130
T20250414-00195,2023-05-29,224,32,Produto V634,4,1046
T20250414-00196,2024-03-20,294,16,Produto K893,17,1406
T20250414-00197,2024-01-15,262,39,Produto Y699,16,1138
T20250414-00198,2023-02-24,289,40,Produto X152,5,1098
T20250414-00199,2023-12-14,282,46,Produto P800,1,1062
T20250414-00200,2024-11-07,257,40,Produto Q389,15,1151
T20250414-00201,2025-02-01,219,10,Produto O463,13,1403
T20250414-00202,2024-03-27,208,11,Produto O943,8,1459
T20250414-00203,2023-02-11,211,7,Produto F213,10,1035
T20250414-00204,2024-12-13,239,32,Produto G145,12,1382
T20250414-00205,2025-02-24,209,41,Produto C955,6,1075
T20250414-00206,2023-09-29,297,5,Produto B500,17,1328
T20250414-00207,2025-02-26,287,16,Produto O164,3,1175
T20250414-00208,2024-02-15,296,46,Produto L885,15,1282
T20250414-00209,2023-07-06,205,17,Produto G609,10,1412
T20250414-00210,2024-07-29,275,10,Produto U483,10,1484
T20250414-00211,2024-12-01,251,2,Produto U899,12,1495
T20250414-00212,2024-09-04,254,15,Produto K831,5,1268
T20250414-00213,2024-08-18,241,5,Produto R208,19,1365
T20250414-00214,2024-07-29,261,14,Produto Y220,20,1330
T20250414-00215,2024-04-04,202,7,Produto E827,20,1387
T20250414-00216,2025-01-21,285,29,Produto H688,8,1202
T20250414-00217,2024-11-26,207,38,Produto G584,3,1086
T20250414-00218,2024-01-14,292,48,Produto N194,19,1141
T20250414-00219,2023-07-03,237,29,Produto T289,8,1002
T20250414-00220,2024-11-23,250,46,Produto Q690,1,1073
T20250414-00221,2023-02-16,270,39,Produto R20,2,1227
T20250414-00222,2023-11-28,200,20,Produto Z769,17,1160
T20250414-00223,2023-02-18,273,32,Produto P527,20,1459
T20250414-00224,2025-03-21,217,30,Produto G748,2,1220
T20250414-00225,2024-02-24,282,46,Produto P800,10,1335
T20250414-00226,2024-05-07,283,47,Produto Q498,7,1369
T20250414-00227,2024-02-16,226,11,Produto J240,3,1152
T20250414-00228,2024-04-22,222,34,Produto B606,17,1182
T20250414-00229,2024-01-01,215,39,Produto S284,12,1429
T20250414-00230,2024-02-23,268,44,Produto G994,1,1100
T20250414-00231,2024-02-29,239,32,Produto G145,10,1263
T20250414-00232,2025-02-15,217,30,Produto G748,13,1101
T20250414-00233,2023-11-12,217,30,Produto G748,5,1381
T20250414-00234,2024-08-04,259,19,Produto Y316,7,1321
T20250414-00235,2023-01-20,285,29,Produto H688,13,1235
T20250414-00236,2023-10-22,232,46,Produto Z547,10,1392
T20250414-00237,2023-09-10,239,32,Produto G145,2,1016
T20250414-00238,2024-06-10,257,40,Produto Q389,18,1487
T20250414-00239,2023-11-20,286,49,Produto Y824,9,1352
T20250414-00240,2023-01-23,259,19,Produto Y316,7,1080
T20250414-00241,2023-05-22,286,49,Produto Y824,6,1019
T20250414-00242,2024-08-30,256,42,Produto X273,1,1444
T20250414-00243,2024-12-21,212,19,Produto N759,14,1330
T20250414-00244,2023-11-25,257,40,Produto Q389,1,1209
T20250414-00245,2023-06-01,254,15,Produto K831,14,1432
T20250414-00246,2024-06-24,219,10,Produto O463,15,1400
T20250414-00247,2023-11-13,209,41,Produto C955,12,1362
T20250414-00248,2024-09-18,275,10,Produto U483,17,1151
T20250414-00249,2023-01-06,247,4,Produto K333,5,1314
T20250414-00250,2023-05-10,295,20,Produto Y464,6,1116
T20250414-00251,2025-03-26,296,46,Produto L885,15,1310
T20250414-00252,2024-05-13,201,17,Produto T822,1,1237
T20250414-00253,2023-01-03,249,33,Produto Y845,5,1479
T20250414-00254,2023-08-08,216,40,Produto Y349,18,1407
T20250414-00255,2023-06-17,258,5,Produto T479,19,1193
T20250414-00256,2023-09-04,268,44,Produto G994,20,1320
T20250414-00257,2023-11-29,207,38,Produto G584,16,1373
T20250414-00258,2024-05-30,237,29,Produto T289,9,1000
T20250414-00259,2023-07-20,235,20,Produto X356,6,1130
T20250414-00260,2024-09-24,206,25,Produto A407,12,1464
T20250414-00261,2024-08-09,270,39,Produto R20,15,1281
T20250414-00262,2024-09-10,299,38,Produto I435,17,1129
T20250414-00263,2024-02-13,281,44,Produto C383,3,1400
T20250414-00264,2023-06-23,252,25,Produto P399,16,1150
T20250414-00265,2023-11-06,245,19,Produto H791,20,1283
T20250414-00266,2023-06-06,210,28,Produto L544,12,1479
T20250414-00267,2023-05-01,258,5,Produto T479,2,1026
T20250414-00268,2024-09-15,284,48,Produto C512,10,1281
T20250414-00269,2024-10-21,264,11,Produto P61,1,1247
T20250414-00270,2024-12-31,287,16,Produto O164,19,1284
T20250414-00271,2023-03-04,290,6,Produto M816,4,1117
T20250414-00272,2023-07-22,258,5,Produto T479,18,1424
T20250414-00273,2024-06-29,299,38,Produto I435,16,1302
T20250414-00274,2023-05-08,264,11,Produto P61,15,1343
T20250414-00275,2023-11-23,284,48,Produto C512,13,1325
T20250414-00276,2024-06-05,219,10,Produto O463,9,1153
T20250414-00277,2024-07-02,218,20,Produto M874,4,1130
T20250414-00278,2023-10-13,201,17,Produto T822,20,1426
T20250414-00279,2023-01-29,205,17,Produto G609,8,1075
T20250414-00280,2023-05-26,250,46,Produto Q690,7,1283
T20250414-00281,2024-08-04,206,25,Produto A407,4,1337
T20250414-00282,2024-05-23,221,1,Produto Q257,12,1183
T20250414-00283,2025-03-16,284,48,Produto C512,3,1265
T20250414-00284,2024-02-02,215,39,Produto S284,4,1363
T20250414-00285,2023-09-26,234,39,Produto T940,5,1283
T20250414-00286,2024-05-01,207,38,Produto G584,11,1208
T20250414-00287,2024-07-08,211,7,Produto F213,7,1065
T20250414-00288,2024-01-13,288,5,Produto T983,7,1294
T20250414-00289,2023-02-11,213,4,Produto D177,19,1468
T20250414-00290,2024-03-29,210,28,Produto L544,3,1141
T20250414-00291,2023-02-23,275,10,Produto U483,6,1485
T20250414-00292,2025-01-28,259,19,Produto Y316,11,1061
T20250414-00293,2023-07-26,296,46,Produto L885,11,1084
T20250414-00294,2024-07-16,226,11,Produto J240,19,1375
T20250414-00295,2024-07-08,226,11,Produto J240,4,1012
T20250414-00296,2023-08-23,283,47,Produto Q498,18,1142
T20250414-00297,2024-04-08,291,34,Produto D633,8,1263
T20250414-00298,2024-10-17,238,16,Produto K344,12,1460
T20250414-00299,2024-07-09,286,49,Produto Y824,15,1280
T20250414-00300,2024-11-29,276,42,Produto I491,16,1477
T20250414-00301,2024-05-25,218,20,Produto M874,11,1157
T20250414-00302,2025-03-01,279,30,Produto W458,10,1202
T20250414-00303,2024-09-10,217,30,Produto G748,12,1419
T20250414-00304,2023-01-12,210,28,Produto L544,14,1048
T20250414-00305,2023-09-26,247,4,Produto K333,10,1471
T20250414-00306,2023-06-06,258,5,Produto T479,11,1478
T20250414-00307,2024-07-22,247,4,Produto K333,2,1061
T20250414-00308,2025-02-03,204,18,Produto U337,19,1329
T20250414-00309,2024-12-10,201,17,Produto T822,18,1087
T20250414-00310,2023-06-26,221,1,Produto Q257,17,1151
T20250414-00311,2024-09-27,245,19,Produto H791,17,1421
T20250414-00312,2023-07-04,283,47,Produto Q498,18,1044
T20250414-00313,2024-04-07,258,5,Produto T479,16,1021
T20250414-00314,2023-08-22,269,7,Produto V779,2,1111
T20250414-00315,2023-11-20,217,30,Produto G748,11,1025
T20250414-00316,2023-01-07,250,46,Produto Q690,7,1216
T20250414-00317,2024-11-12,214,17,Produto J937,7,1321
T20250414-00318,2024-05-30,234,39,Produto T940,8,1392
T20250414-00319,2025-03-06,296,46,Produto L885,9,1084
T20250414-00320,2023-05-06,288,5,Produto T983,2,1347
T20250414-00321,2025-01-16,264,11,Produto P61,13,1167
T20250414-00322,2024-10-11,230,28,Produto I246,9,1152
T20250414-00323,2024-02-04,285,29,Produto H688,4,1142
T20250414-00324,2023-07-07,200,20,Produto Z769,8,1301
T20250414-00325,2023-11-14,240,26,Produto H916,2,1040
T20250414-00326,2023-10-29,272,20,Produto E366,4,1490
T20250414-00327,2025-02-17,213,4,Produto D177,10,1235
T20250414-00328,2023-11-23,290,6,Produto M816,11,1178
T20250414-00329,2024-05-20,241,5,Produto R208,4,1122
T20250414-00330,2024-01-17,272,20,Produto E366,12,1434
T20250414-00331,2024-08-18,283,47,Produto Q498,14,1307
T20250414-00332,2025-02-24,282,46,Produto P800,16,1311
T20250414-00333,2023-10-30,235,20,Produto X356,10,1011
T20250414-00334,2025-02-12,298,33,Produto B166,12,1498
T20250414-00335,2023-04-06,225,23,Produto A317,12,1331
T20250414-00336,2023-04-27,277,26,Produto K965,5,1090
T20250414-00337,2023-08-03,205,17,Produto G609,9,1429
T20250414-00338,2024-09-06,238,16,Produto K344,17,1184
T20250414-00339,2023-12-31,252,25,Produto P399,2,1308
T20250414-00340,2025-03-07,242,10,Produto Z955,7,1255
T20250414-00341,2024-06-05,291,34,Produto D633,11,1436
T20250414-00342,2024-06-13,262,39,Produto Y699,11,1361
T20250414-00343,2024-08-16,284,48,Produto C512,20,1034
T20250414-00344,2023-05-12,291,34,Produto D633,19,1071
T20250414-00345,2023-09-28,239,32,Produto G145,2,1252
T20250414-00346,2024-12-06,280,44,Produto A726,17,1312
T20250414-00347,2023-04-20,268,44,Produto G994,11,1044
T20250414-00348,2023-03-23,218,20,Produto M874,11,1246
T20250414-00349,2023-11-03,231,3,Produto Q788,7,1306
T20250414-00350,2024-11-17,251,2,Produto U899,13,1346
T20250414-00351,2024-07-05,216,40,Produto Y349,2,1111
T20250414-00352,2025-01-08,276,42,Produto I491,5,1143
T20250414-00353,2024-03-03,265,8,Produto W591,11,1251
T20250414-00354,2024-05-23,266,19,Produto U706,19,1120
T20250414-00355,2023-05-04,221,1,Produto Q257,3,1106
T20250414-00356,2024-08-10,249,33,Produto Y845,10,1481
T20250414-00357,2025-03-24,249,33,Produto Y845,4,1374
T20250414-00358,2024-01-09,217,30,Produto G748,20,1395
T20250414-00359,2025-02-02,287,16,Produto O164,14,1310
T20250414-00360,2023-06-24,283,47,Produto Q498,12,1417
T20250414-00361,2023-06-02,280,44,Produto A726,1,1304
T20250414-00362,2023-07-31,297,5,Produto B500,13,1325
T20250414-00363,2024-03-02,219,10,Produto O463,19,1307
T20250414-00364,2023-01-05,237,29,Produto T289,18,1076
T20250414-00365,2023-01-24,288,5,Produto T983,8,1347
T20250414-00366,2024-01-17,298,33,Produto B166,15,1092
T20250414-00367,2025-01-15,259,19,Produto Y316,16,1420
T20250414-00368,2023-05-03,245,19,Produto H791,5,1406
T20250414-00369,2024-05-08,287,16,Produto O164,2,1195
T20250414-00370,2023-09-01,223,15,Produto W388,11,1001
T20250414-00371,2024-12-02,236,44,Produto M279,11,1239
T20250414-00372,2024-12-26,207,38,Produto G584,12,1179
T20250414-00373,2024-09-25,291,34,Produto D633,7,1234
T20250414-00374,2024-11-23,288,5,Produto T983,9,1078
T20250414-00375,2025-03-06,247,4,Produto K333,10,1060
T20250414-00376,2023-07-02,223,15,Produto W388,5,1151
T20250414-00377,2023-10-10,217,30,Produto G748,19,1161
T20250414-00378,2025-01-21,290,6,Produto M816,10,1383
T20250414-00379,2023-06-17,222,34,Produto B606,16,1068
T20250414-00380,2023-09-12,202,7,Produto E827,5,1450
T20250414-00381,2023-12-31,212,19,Produto N759,4,1431
T20250414-00382,2024-09-22,255,40,Produto I357,20,1188
T20250414-00383,2023-10-30,295,20,Produto Y464,20,1201
T20250414-00384,2024-10-18,225,23,Produto A317,9,1442
T20250414-00385,2025-01-31,221,1,Produto Q257,8,1185
T20250414-00386,2023-06-07,280,44,Produto A726,11,1417
T20250414-00387,2025-01-26,233,14,Produto G422,13,1071
T20250414-00388,2025-03-27,213,4,Produto D177,7,1200
T20250414-00389,2023-11-18,222,34,Produto B606,20,1002
T20250414-00390,2023-02-17,277,26,Produto K965,14,1435
T20250414-00391,2023-03-18,296,46,Produto L885,9,1188
T20250414-00392,2024-12-23,227,21,Produto E338,5,1290
T20250414-00393,2023-05-14,222,34,Produto B606,17,1204
T20250414-00394,2024-04-11,240,26,Produto H916,18,1213
T20250414-00395,2024-04-16,240,26,Produto H916,6,1025
T20250414-00396,2023-11-28,210,28,Produto L544,1,1041
T20250414-00397,2024-02-01,213,4,Produto D177,3,1405
T20250414-00398,2023-02-06,255,40,Produto I357,1,1257
T20250414-00399,2023-03-28,206,25,Produto A407,18,1313
T20250414-00400,2024-04-16,281,44,Produto C383,6,1344
T20250414-00401,2023-06-22,283,47,Produto Q498,16,1159
T20250414-00402,2023-05-27,245,19,Produto H791,5,1368
T20250414-00403,2023-07-15,220,1,Produto C925,13,1164
T20250414-00404,2023-12-22,280,44,Produto A726,10,1424
T20250414-00405,2023-08-24,263,12,Produto O924,7,1158
T20250414-00406,2024-06-24,281,44,Produto C383,1,1483
T20250414-00407,2024-10-23,254,15,Produto K831,19,1361
T20250414-00408,2025-01-15,228,6,Produto B585,9,1012
T20250414-00409,2023-08-23,278,31,Produto A338,16,1232
T20250414-00410,2025-03-25,217,30,Produto G748,14,1351
T20250414-00411,2025-02-18,223,15,Produto W388,2,1082
T20250414-00412,2024-02-22,225,23,Produto A317,8,1174
T20250414-00413,2024-01-02,204,18,Produto U337,11,1142
T20250414-00414,2025-01-03,228,6,Produto B585,10,1078
T20250414-00415,2023-12-29,288,5,Produto T983,12,1323
T20250414-00416,2024-07-14,202,7,Produto E827,6,1223
T20250414-00417,2024-11-16,257,40,Produto Q389,3,1045
T20250414-00418,2024-02-15,222,34,Produto B606,1,1161
T20250414-00419,2024-04-26,224,32,Produto V634,1,1094
T20250414-00420,2024-04-25,258,5,Produto T479,17,1121
T20250414-00421,2024-05-03,235,20,Produto X356,16,1382
T20250414-00422,2023-09-30,280,44,Produto A726,13,1329
T20250414-00423,2023-05-15,296,46,Produto L885,9,1125
T20250414-00424,2024-09-21,266,19,Produto U706,2,1293
T20250414-00425,2024-07-25,200,20,Produto Z769,18,1289
T20250414-00426,2023-08-30,268,44,Produto G994,1,1201
T20250414-00427,2023-05-14,233,14,Produto G422,10,1198
T20250414-00428,2023-09-06,233,14,Produto G422,20,1499
T20250414-00429,2023-07-09,256,42,Produto X273,3,1315
T20250414-00430,2024-12-21,240,26,Produto H916,3,1449
T20250414-00431,2025-01-19,298,33,Produto B166,3,1325
T20250414-00432,2023-07-18,238,16,Produto K344,14,1158
T20250414-00433,2023-09-16,290,6,Produto M816,10,1484
T20250414-00434,2024-11-20,241,5,Produto R208,3,1098
T20250414-00435,2025-03-13,231,3,Produto Q788,7,1239
T20250414-00436,2024-11-22,210,28,Produto L544,14,1292
T20250414-00437,2023-11-27,299,38,Produto I435,1,1357
T20250414-00438,2024-09-09,263,12,Produto O924,15,1437
T20250414-00439,2024-08-29,262,39,Produto Y699,10,1258
T20250414-00440,2023-10-23,268,44,Produto G994,19,1464
T20250414-00441,2025-02-09,210,28,Produto L544,12,1192
T20250414-00442,2023-05-21,262,39,Produto Y699,1,1310
T20250414-00443,2023-11-19,299,38,Produto I435,7,1051
T20250414-00444,2023-05-19,227,21,Produto E338,16,1329
T20250414-00445,2024-11-22,201,17,Produto T822,15,1143
T20250414-00446,2023-03-19,247,4,Produto K333,5,1309
T20250414-00447,2024-08-06,294,16,Produto K893,13,1376
T20250414-00448,2023-03-30,269,7,Produto V779,17,1381
T20250414-00449,2023-07-23,240,26,Produto H916,12,1276
T20250414-00450,2023-10-12,224,32,Produto V634,12,1452
T20250414-00451,2025-03-05,238,16,Produto K344,10,1364
T20250414-00452,2024-02-28,251,2,Produto U899,6,1463
T20250414-00453,2023-08-25,295,20,Produto Y464,8,1466
T20250414-00454,2024-02-04,243,36,Produto U968,8,1115
T20250414-00455,2023-05-25,277,26,Produto K965,13,1291
T20250414-00456,2024-07-01,248,13,Produto E317,11,1261
T20250414-00457,2025-02-06,214,17,Produto J937,18,1298
T20250414-00458,2024-05-20,298,33,Produto B166,14,1259
T20250414-00459,2024-06-28,298,33,Produto B166,14,1492
T20250414-00460,2023-09-28,262,39,Produto Y699,10,1483
